Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,MSA,MuniCode2,MSAPOP,State
Cornish,NH06,NH,6,0,Upper Valley Lake Sunapee Regional Planning Commission,1915060,1,Not Applicable,3315060,-,Co
Charleston town,VT06,VT,6,0,Northeastern Vermont Development Association,1913150,1,Not Applicable,5013150,-,VT
Claremont,NH06,NH,6,0,Upper Valley Lake Sunapee Regional Planning Commission,1912900,1,Not Applicable,3312900,-,Cl
Charlestown,NH06,NH,6,0,Upper Valley Lake Sunapee Regional Planning Commission,1911380,1,Not Applicable,3311380,-,Ch
Brownington town,VT06,VT,6,0,Northeastern Vermont Development Association,1909850,1,Not Applicable,5009850,-,VT
Barton town,VT06,VT,6,0,Northeastern Vermont Development Association,1903550,1,Not Applicable,5003550,-,VT
Albany town,VT06,VT,6,0,Northeastern Vermont Development Association,1900475,1,Not Applicable,5000475,-,VT
Acworth,NH06,NH,6,0,Upper Valley Lake Sunapee Regional Planning Commission,1900260,1,Not Applicable,3300260,-,Ac
Williamstown town,VT09,VT,9,0,Central Vermont RPC,1784175,1,Not Applicable,5084175,-,VT
Woburn city,MA09,MA,9,0,Metropolitan Area Planning Council,1781035,1,"Boston-Cambridge-Quincy, MA-NH",2581035,4552402,MA
Winchester town,MA09,MA,9,0,Metropolitan Area Planning Council,1780510,1,"Boston-Cambridge-Quincy, MA-NH",2580510,4552402,MA
Wilmington town,MA09,MA,9,0,Metropolitan Area Planning Council,1780230,1,"Boston-Cambridge-Quincy, MA-NH",2580230,4552402,MA
West Fairlee town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,1779975,1,Not Applicable,5079975,-,VT
Weston town,MA09,MA,9,0,Metropolitan Area Planning Council,1777255,1,"Boston-Cambridge-Quincy, MA-NH",2577255,4552402,MA
Washington town,VT09,VT,9,0,Central Vermont RPC,1776750,1,Not Applicable,5076750,-,VT
Westford town,MA06,MA,6,0,Northern Middlesex RPC,1776135,1,"Boston-Cambridge-Quincy, MA-NH",2576135,4552402,MA
Vershire town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,1774950,1,Not Applicable,5074950,-,VT
Strafford,NH02,NH,2,0,Stratford Regional Planning Commission,1773860,1,Not Applicable,3373860,-,St
Wayland town,MA09,MA,9,0,Metropolitan Area Planning Council,1773790,1,"Boston-Cambridge-Quincy, MA-NH",2573790,4552402,MA
Tunbridge town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,1773675,1,Not Applicable,5073675,-,VT
Watertown Town city,MA09,MA,9,0,Metropolitan Area Planning Council,1773440,1,"Boston-Cambridge-Quincy, MA-NH",2573440,4552402,MA
Topsham town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,1773075,1,Not Applicable,5073075,-,VT
Waltham city,MA09,MA,9,0,Metropolitan Area Planning Council,1772600,1,"Boston-Cambridge-Quincy, MA-NH",2572600,4552402,MA
Thetford town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,1772400,1,Not Applicable,5072400,-,VT
Wakefield town,MA09,MA,9,0,Metropolitan Area Planning Council,1772215,1,"Boston-Cambridge-Quincy, MA-NH",2572215,4552402,MA
Tyngsborough town,MA06,MA,6,0,Northern Middlesex RPC,1771025,1,"Boston-Cambridge-Quincy, MA-NH",2571025,4552402,MA
Strafford town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,1770675,1,Not Applicable,5070675,-,VT
Townsend town,MA08,MA,8,0,Montachusetts RPC,1770360,1,"Boston-Cambridge-Quincy, MA-NH",2570360,4552402,MA
Somersworth,NH02,NH,2,0,Stratford Regional Planning Commission,1769940,1,Not Applicable,3369940,-,So
Tewksbury town,MA06,MA,6,0,Northern Middlesex RPC,1769415,1,"Boston-Cambridge-Quincy, MA-NH",2569415,4552402,MA
Sudbury town,MA09,MA,9,0,Metropolitan Area Planning Council,1768260,1,"Boston-Cambridge-Quincy, MA-NH",2568260,4552402,MA
Stow town,MA09,MA,9,0,Metropolitan Area Planning Council,1768050,1,"Boston-Cambridge-Quincy, MA-NH",2568050,4552402,MA
Stoneham town,MA09,MA,9,0,Metropolitan Area Planning Council,1767665,1,"Boston-Cambridge-Quincy, MA-NH",2567665,4552402,MA
Rollinsford,NH02,NH,2,0,Stratford Regional Planning Commission,1765540,1,Not Applicable,3365540,-,Ro
Rochester,NH02,NH,2,0,Stratford Regional Planning Commission,1765140,1,Not Applicable,3365140,-,Ro
Somerville city,MA09,MA,9,0,Metropolitan Area Planning Council,1762535,1,"Boston-Cambridge-Quincy, MA-NH",2562535,4552402,MA
Shirley town,MA08,MA,8,0,Montachusetts RPC,1761590,1,"Boston-Cambridge-Quincy, MA-NH",2561590,4552402,MA
Sherborn town,MA09,MA,9,0,Metropolitan Area Planning Council,1761380,1,"Boston-Cambridge-Quincy, MA-NH",2561380,4552402,MA
Randolph town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,1758075,1,Not Applicable,5058075,-,VT
Reading town,MA09,MA,9,0,Metropolitan Area Planning Council,1756130,1,"Boston-Cambridge-Quincy, MA-NH",2556130,4552402,MA
Orange town,VT09,VT,9,0,Central Vermont RPC,1753425,1,Not Applicable,5053425,-,VT
Pepperell town,MA06,MA,6,0,Northern Middlesex RPC,1752805,1,"Boston-Cambridge-Quincy, MA-NH",2552805,4552402,MA
New Durham,NH02,NH,2,0,Stratford Regional Planning Commission,1751220,1,Not Applicable,3351220,-,Ne
North Reading town,MA09,MA,9,0,Metropolitan Area Planning Council,1748955,1,"Boston-Cambridge-Quincy, MA-NH",2548955,4552402,MA
Milton,NH02,NH,2,0,Stratford Regional Planning Commission,1748660,1,Not Applicable,3348660,-,Mi
Newbury town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,1748175,1,Not Applicable,5048175,-,VT
Middleton,NH02,NH,2,0,Stratford Regional Planning Commission,1747700,1,Not Applicable,3347700,-,Mi
Newton city,MA09,MA,9,0,Metropolitan Area Planning Council,1745560,1,"Boston-Cambridge-Quincy, MA-NH",2545560,4552402,MA
Madbury,NH02,NH,2,0,Stratford Regional Planning Commission,1744820,1,Not Applicable,3344820,-,Ma
Natick town,MA09,MA,9,0,Metropolitan Area Planning Council,1743895,1,"Boston-Cambridge-Quincy, MA-NH",2543895,4552402,MA
Lee,NH02,NH,2,0,Stratford Regional Planning Commission,1741460,1,Not Applicable,3341460,-,Le
Melrose city,MA09,MA,9,0,Metropolitan Area Planning Council,1740115,1,"Boston-Cambridge-Quincy, MA-NH",2540115,4552402,MA
Medford city,MA09,MA,9,0,Metropolitan Area Planning Council,1739835,1,"Boston-Cambridge-Quincy, MA-NH",2539835,4552402,MA
Maynard town,MA09,MA,9,0,Metropolitan Area Planning Council,1739625,1,"Boston-Cambridge-Quincy, MA-NH",2539625,4552402,MA
Marlborough city,MA09,MA,9,0,Metropolitan Area Planning Council,1738715,1,"Boston-Cambridge-Quincy, MA-NH",2538715,4552402,MA
Malden city,MA09,MA,9,0,Metropolitan Area Planning Council,1737875,1,"Boston-Cambridge-Quincy, MA-NH",2537875,4552402,MA
Lowell city,MA06,MA,6,0,Northern Middlesex RPC,1737000,1,"Boston-Cambridge-Quincy, MA-NH",2537000,4552402,MA
Littleton town,MA09,MA,9,0,Metropolitan Area Planning Council,1735950,1,"Boston-Cambridge-Quincy, MA-NH",2535950,4552402,MA
Lincoln town,MA09,MA,9,0,Metropolitan Area Planning Council,1735425,1,"Boston-Cambridge-Quincy, MA-NH",2535425,4552402,MA
Lexington town,MA09,MA,9,0,Metropolitan Area Planning Council,1735215,1,"Boston-Cambridge-Quincy, MA-NH",2535215,4552402,MA
Hudson town,MA09,MA,9,0,Metropolitan Area Planning Council,1731540,1,"Boston-Cambridge-Quincy, MA-NH",2531540,4552402,MA
Hopkinton town,MA09,MA,9,0,Metropolitan Area Planning Council,1731085,1,"Boston-Cambridge-Quincy, MA-NH",2531085,4552402,MA
Holliston town,MA09,MA,9,0,Metropolitan Area Planning Council,1730700,1,"Boston-Cambridge-Quincy, MA-NH",2530700,4552402,MA
Groton town,MA08,MA,8,0,Montachusetts RPC,1727480,1,"Boston-Cambridge-Quincy, MA-NH",2527480,4552402,MA
Farmington,NH02,NH,2,0,Stratford Regional Planning Commission,1726020,1,Not Applicable,3326020,-,Fa
Fairlee town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,1725675,1,Not Applicable,5025675,-,VT
Framingham town,MA09,MA,9,0,Metropolitan Area Planning Council,1724925,1,"Boston-Cambridge-Quincy, MA-NH",2524925,4552402,MA
Everett city,MA09,MA,9,0,Metropolitan Area Planning Council,1721990,1,"Boston-Cambridge-Quincy, MA-NH",2521990,4552402,MA
Durham,NH02,NH,2,0,Stratford Regional Planning Commission,1719700,1,Not Applicable,3319700,-,Du
Dover,NH02,NH,2,0,Stratford Regional Planning Commission,1718820,1,Not Applicable,3318820,-,Do
Dunstable town,MA06,MA,6,0,Northern Middlesex RPC,1717825,1,"Boston-Cambridge-Quincy, MA-NH",2517825,4552402,MA
Dracut town,MA06,MA,6,0,Northern Middlesex RPC,1717475,1,"Boston-Cambridge-Quincy, MA-NH",2517475,4552402,MA
Corinth town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,1715700,1,Not Applicable,5015700,-,VT
Concord town,MA09,MA,9,0,Metropolitan Area Planning Council,1715060,1,"Boston-Cambridge-Quincy, MA-NH",2515060,4552402,MA
Chelsea town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,1713525,1,Not Applicable,5013525,-,VT
Chelmsford town,MA06,MA,6,0,Northern Middlesex RPC,1713135,1,"Boston-Cambridge-Quincy, MA-NH",2513135,4552402,MA
Carlisle town,MA09,MA,9,0,Metropolitan Area Planning Council,1711525,1,"Boston-Cambridge-Quincy, MA-NH",2511525,4552402,MA
Cambridge city,MA09,MA,9,0,Metropolitan Area Planning Council,1711000,1,"Boston-Cambridge-Quincy, MA-NH",2511000,4552402,MA
Burlington town,MA09,MA,9,0,Metropolitan Area Planning Council,1709840,1,"Boston-Cambridge-Quincy, MA-NH",2509840,4552402,MA
Brookfield town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,1709325,1,Not Applicable,5009325,-,VT
Braintree town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,1707600,1,Not Applicable,5007600,-,VT
Bradford town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,1707375,1,Not Applicable,5007375,-,VT
Boxborough town,MA09,MA,9,0,Metropolitan Area Planning Council,1707350,1,"Boston-Cambridge-Quincy, MA-NH",2507350,4552402,MA
Billerica town,MA06,MA,6,0,Northern Middlesex RPC,1705805,1,"Boston-Cambridge-Quincy, MA-NH",2505805,4552402,MA
Belmont town,MA09,MA,9,0,Metropolitan Area Planning Council,1705070,1,"Boston-Cambridge-Quincy, MA-NH",2505070,4552402,MA
Bedford town,MA09,MA,9,0,Metropolitan Area Planning Council,1704615,1,"Boston-Cambridge-Quincy, MA-NH",2504615,4552402,MA
Barrington,NH02,NH,2,0,Stratford Regional Planning Commission,1703460,1,Not Applicable,3303460,-,Ba
Ayer town,MA08,MA,8,0,Montachusetts RPC,1703005,1,"Boston-Cambridge-Quincy, MA-NH",2503005,4552402,MA
Ashland town,MA09,MA,9,0,Metropolitan Area Planning Council,1702130,1,"Boston-Cambridge-Quincy, MA-NH",2502130,4552402,MA
Ashby town,MA08,MA,8,0,Montachusetts RPC,1701955,1,"Boston-Cambridge-Quincy, MA-NH",2501955,4552402,MA
Arlington town,MA09,MA,9,0,Metropolitan Area Planning Council,1701605,1,"Boston-Cambridge-Quincy, MA-NH",2501605,4552402,MA
Acton town,MA09,MA,9,0,Metropolitan Area Planning Council,1700380,1,"Boston-Cambridge-Quincy, MA-NH",2500380,4552402,MA
Woodstock town,CT05,CT,5,0,Northeastern Connecticut Council of Governments,1588190,1,"Worcester, MA",988190,798552,CT
Windham town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1586790,1,"Hartford-West Hartford-East Hartford, CT",986790,1212381,CT
Windham,NH04,NH,4,0,Southern New Hampshire Planning Commission,1585780,1,"Boston-Cambridge-Quincy, MA-NH",3385780,4552402,Wi
Wolcott town,VT07,VT,7,0,Lanoille County Planning Commission,1585375,1,Not Applicable,5085375,-,VT
Worthington town,MA04,MA,4,0,Pioneer Valley Planning Commission,1582175,1,"Springfield, MA",2582175,692942,MA
Williamsburg town,MA04,MA,4,0,Pioneer Valley Planning Commission,1579915,1,"Springfield, MA",2579915,692942,MA
Waterville town,VT07,VT,7,0,Lanoille County Planning Commission,1577425,1,Not Applicable,5077425,-,VT
Westhampton town,MA04,MA,4,0,Pioneer Valley Planning Commission,1576380,1,"Springfield, MA",2576380,692942,MA
Thompson town,CT05,CT,5,0,Northeastern Connecticut Council of Governments,1575870,1,"Worcester, MA",975870,798552,CT
Stratham,NH01,NH,1,0,Rockingham Planning Commission,1574340,1,"Boston-Cambridge-Quincy, MA-NH",3374340,4552402,St
Sterling town,CT05,CT,5,0,Northeastern Connecticut Council of Governments,1573420,1,"Worcester, MA",973420,798552,CT
Ware town,MA04,MA,4,0,Pioneer Valley Planning Commission,1572880,1,"Springfield, MA",2572880,692942,MA
South Hampton,NH01,NH,1,0,Rockingham Planning Commission,1571140,1,"Boston-Cambridge-Quincy, MA-NH",3371140,4552402,So
Stowe town,VT07,VT,7,0,Lanoille County Planning Commission,1570525,1,Not Applicable,5070525,-,VT
Seabrook,NH01,NH,1,0,Rockingham Planning Commission,1568260,1,"Boston-Cambridge-Quincy, MA-NH",3368260,4552402,Se
Sandown,NH01,NH,1,0,Rockingham Planning Commission,1567620,1,"Boston-Cambridge-Quincy, MA-NH",3367620,4552402,Sa
Scotland town,CT05,CT,5,0,Northeastern Connecticut Council of Governments,1567400,1,"Hartford-West Hartford-East Hartford, CT",967400,1212381,CT
Salem,NH01,NH,1,0,Rockingham Planning Commission,1566660,1,"Boston-Cambridge-Quincy, MA-NH",3366660,4552402,Sa
Rye,NH01,NH,1,0,Rockingham Planning Commission,1566180,1,"Boston-Cambridge-Quincy, MA-NH",3366180,4552402,Ry
South Hadley town,MA04,MA,4,0,Pioneer Valley Planning Commission,1564145,1,"Springfield, MA",2564145,692942,MA
Raymond,NH01,NH,1,0,Rockingham Planning Commission,1564020,1,Not Applicable,3364020,-,Ra
Portsmouth,NH01,NH,1,0,Rockingham Planning Commission,1562900,1,"Boston-Cambridge-Quincy, MA-NH",3362900,4552402,Po
Southampton town,MA04,MA,4,0,Pioneer Valley Planning Commission,1562745,1,"Springfield, MA",2562745,692942,MA
Putnam town,CT05,CT,5,0,Northeastern Connecticut Council of Governments,1562710,1,"Worcester, MA",962710,798552,CT
Plaistow,NH01,NH,1,0,Rockingham Planning Commission,1562500,1,"Boston-Cambridge-Quincy, MA-NH",3362500,4552402,Pl
Pomfret town,CT05,CT,5,0,Northeastern Connecticut Council of Governments,1561030,1,"Worcester, MA",961030,798552,CT
Plainfield town,CT05,CT,5,0,Northeastern Connecticut Council of Governments,1559980,1,"Worcester, MA",959980,798552,CT
Nottingham,NH02,NH,2,0,Stratford Regional Planning Commission,1557460,1,Not Applicable,3357460,-,No
Northwood,NH02,NH,2,0,Stratford Regional Planning Commission,1556820,1,Not Applicable,3356820,-,No
North Hampton,NH01,NH,1,0,Rockingham Planning Commission,1554580,1,"Boston-Cambridge-Quincy, MA-NH",3354580,4552402,No
Plainfield town,MA04,MA,4,0,Pioneer Valley Planning Commission,1554030,1,Not Applicable,2554030,-,MA
Newton,NH01,NH,1,0,Rockingham Planning Commission,1552900,1,"Boston-Cambridge-Quincy, MA-NH",3352900,4552402,Ne
Pelham town,MA04,MA,4,0,Pioneer Valley Planning Commission,1552560,1,"Springfield, MA",2552560,692942,MA
Newmarket,NH02,NH,2,0,Stratford Regional Planning Commission,1552340,1,"Boston-Cambridge-Quincy, MA-NH",3352340,4552402,Ne
Newington,NH01,NH,1,0,Rockingham Planning Commission,1551620,1,"Boston-Cambridge-Quincy, MA-NH",3351620,4552402,Ne
Newfields,NH01,NH,1,0,Rockingham Planning Commission,1551380,1,"Boston-Cambridge-Quincy, MA-NH",3351380,4552402,Ne
New Castle,NH01,NH,1,0,Rockingham Planning Commission,1550980,1,"Boston-Cambridge-Quincy, MA-NH",3350980,4552402,Ne
Morristown town,VT07,VT,7,0,Lanoille County Planning Commission,1546675,1,Not Applicable,5046675,-,VT
Northampton city,MA04,MA,4,0,Pioneer Valley Planning Commission,1546330,1,"Springfield, MA",2546330,692942,MA
Londonderry,NH04,NH,4,0,Southern New Hampshire Planning Commission,1543220,1,"Boston-Cambridge-Quincy, MA-NH",3343220,4552402,Lo
Middlefield town,MA04,MA,4,0,Pioneer Valley Planning Commission,1540990,1,"Pittsfield, MA",2540990,131219,MA
Killingly town,CT05,CT,5,0,Northeastern Connecticut Council of Governments,1540500,1,"Worcester, MA",940500,798552,CT
Kingston,NH01,NH,1,0,Rockingham Planning Commission,1540100,1,"Boston-Cambridge-Quincy, MA-NH",3340100,4552402,Ki
Kensington,NH01,NH,1,0,Rockingham Planning Commission,1539780,1,"Boston-Cambridge-Quincy, MA-NH",3339780,4552402,Ke
Johnson town,VT07,VT,7,0,Lanoille County Planning Commission,1537075,1,Not Applicable,5037075,-,VT
Hampton town,CT05,CT,5,0,Northeastern Connecticut Council of Governments,1536000,1,Not Applicable,936000,-,CT
Hyde Park town,VT07,VT,7,0,Lanoille County Planning Commission,1535050,1,Not Applicable,5035050,-,VT
Hampton Falls,NH01,NH,1,0,Rockingham Planning Commission,1533460,1,"Boston-Cambridge-Quincy, MA-NH",3333460,4552402,Ha
Hampton,NH01,NH,1,0,Rockingham Planning Commission,1533060,1,"Boston-Cambridge-Quincy, MA-NH",3333060,4552402,Ha
Hampstead,NH01,NH,1,0,Rockingham Planning Commission,1532900,1,"Boston-Cambridge-Quincy, MA-NH",3332900,4552402,Ha
Huntington town,MA04,MA,4,0,Pioneer Valley Planning Commission,1531785,1,"Springfield, MA",2531785,692942,MA
Greenland,NH01,NH,1,0,Rockingham Planning Commission,1531700,1,"Boston-Cambridge-Quincy, MA-NH",3331700,4552402,Gr
Hatfield town,MA04,MA,4,0,Pioneer Valley Planning Commission,1529265,1,"Springfield, MA",2529265,692942,MA
Fremont,NH01,NH,1,0,Rockingham Planning Commission,1527940,1,"Boston-Cambridge-Quincy, MA-NH",3327940,4552402,Fr
Hadley town,MA04,MA,4,0,Pioneer Valley Planning Commission,1527690,1,"Springfield, MA",2527690,692942,MA
Granby town,MA04,MA,4,0,Pioneer Valley Planning Commission,1526535,1,"Springfield, MA",2526535,692942,MA
Goshen town,MA04,MA,4,0,Pioneer Valley Planning Commission,1526290,1,"Springfield, MA",2526290,692942,MA
Exeter,NH01,NH,1,0,Rockingham Planning Commission,1525380,1,"Boston-Cambridge-Quincy, MA-NH",3325380,4552402,Ex
Epping,NH01,NH,1,0,Rockingham Planning Commission,1524660,1,"Boston-Cambridge-Quincy, MA-NH",3324660,4552402,Ep
Elmore town,VT07,VT,7,0,Lanoille County Planning Commission,1523725,1,Not Applicable,5023725,-,VT
Eden town,VT07,VT,7,0,Lanoille County Planning Commission,1523500,1,Not Applicable,5023500,-,VT
Eastford town,CT05,CT,5,0,Northeastern Connecticut Council of Governments,1521860,1,Not Applicable,921860,-,CT
East Kingston,NH01,NH,1,0,Rockingham Planning Commission,1521380,1,"Boston-Cambridge-Quincy, MA-NH",3321380,4552402,Ea
Easthampton Town city,MA04,MA,4,0,Pioneer Valley Planning Commission,1519370,1,"Springfield, MA",2519370,692942,MA
Derry,NH04,NH,4,0,Southern New Hampshire Planning Commission,1517940,1,"Boston-Cambridge-Quincy, MA-NH",3317940,4552402,De
Deerfield,NH04,NH,4,0,Southern New Hampshire Planning Commission,1517460,1,Not Applicable,3317460,-,De
Danville,NH01,NH,1,0,Rockingham Planning Commission,1517140,1,"Boston-Cambridge-Quincy, MA-NH",3317140,4552402,Da
Cummington town,MA04,MA,4,0,Pioneer Valley Planning Commission,1516040,1,"Springfield, MA",2516040,692942,MA
Chaplin town,CT05,CT,5,0,Northeastern Connecticut Council of Governments,1513810,1,"Hartford-West Hartford-East Hartford, CT",913810,1212381,CT
Chesterfield town,MA04,MA,4,0,Pioneer Valley Planning Commission,1513590,1,"Springfield, MA",2513590,692942,MA
Canterbury town,CT05,CT,5,0,Northeastern Connecticut Council of Governments,1512130,1,"Norwich-New London, CT",912130,274055,CT
Chester,NH04,NH,4,0,Southern New Hampshire Planning Commission,1512100,1,"Boston-Cambridge-Quincy, MA-NH",3312100,4552402,Ch
Cambridge town,VT07,VT,7,0,Lanoille County Planning Commission,1511500,1,"Burlington-South Burlington, VT",5011500,211261,VT
Candia,NH04,NH,4,0,Southern New Hampshire Planning Commission,1509300,1,"Boston-Cambridge-Quincy, MA-NH",3309300,4552402,Ca
Brooklyn town,CT05,CT,5,0,Northeastern Connecticut Council of Governments,1509190,1,"Worcester, MA",909190,798552,CT
Brentwood,NH01,NH,1,0,Rockingham Planning Commission,1507220,1,"Boston-Cambridge-Quincy, MA-NH",3307220,4552402,Br
Belchertown town,MA04,MA,4,0,Pioneer Valley Planning Commission,1504825,1,"Springfield, MA",2504825,692942,MA
Belvidere town,VT07,VT,7,0,Lanoille County Planning Commission,1504375,1,Not Applicable,5004375,-,VT
Auburn,NH04,NH,4,0,Southern New Hampshire Planning Commission,1502820,1,"Boston-Cambridge-Quincy, MA-NH",3302820,4552402,Au
Atkinson,NH01,NH,1,0,Rockingham Planning Commission,1502340,1,"Boston-Cambridge-Quincy, MA-NH",3302340,4552402,At
Ashford town,CT05,CT,5,0,Northeastern Connecticut Council of Governments,1501430,1,"Hartford-West Hartford-East Hartford, CT",901430,1212381,CT
Amherst town,MA04,MA,4,0,Pioneer Valley Planning Commission,1501325,1,"Springfield, MA",2501325,692942,MA
Willington town,CT01,CT,1,0,Capital Region Council of Governments,1385950,1,"Hartford-West Hartford-East Hartford, CT",985950,1212381,CT
Wilmot,NH06,NH,6,0,Upper Valley Lake Sunapee Regional Planning Commission,1384900,1,Not Applicable,3384900,-,Wi
Webster,NH03,NH,3,0,Central New Hampshire RPC,1380020,1,Not Applicable,3380020,-,We
