Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,MSA,MuniCode2,MSAPOP,State
Old Lyme town,CT03,CT,3,0,Lower CT River Valley Council of Governments,1157040,1,"Norwich-New London, CT",957040,274055,CT
Norwich town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1156270,1,"Norwich-New London, CT",956270,274055,CT
North Stonington town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1155500,1,"Norwich-New London, CT",955500,274055,CT
New London town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1152350,1,"Norwich-New London, CT",952350,274055,CT
New Ipswich,NH07,NH,7,0,Southwest Region Planning Commission,1151940,1,Not Applicable,3351940,-,Ne
Orange town,MA03,MA,3,0,Franklin Regional Council of Governments,1151265,1,Not Applicable,2551265,-,MA
New Boston,NH04,NH,4,0,Southern New Hampshire Planning Commission,1150740,1,"Boston-Cambridge-Quincy, MA-NH",3350740,4552402,Ne
Nashua,NH08,NH,8,0,Nashua Regional Planning Commission,1150260,1,"Boston-Cambridge-Quincy, MA-NH",3350260,4552402,Na
Mont Vernon,NH08,NH,8,0,Nashua Regional Planning Commission,1149140,1,"Boston-Cambridge-Quincy, MA-NH",3349140,4552402,Mo
Montville town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1148900,1,"Norwich-New London, CT",948900,274055,CT
Milford,NH08,NH,8,0,Nashua Regional Planning Commission,1148020,1,"Boston-Cambridge-Quincy, MA-NH",3348020,4552402,Mi
Northfield town,MA03,MA,3,0,Franklin Regional Council of Governments,1147835,1,Not Applicable,2547835,-,MA
Merrimack,NH08,NH,8,0,Nashua Regional Planning Commission,1147540,1,"Boston-Cambridge-Quincy, MA-NH",3347540,4552402,Me
Mason,NH07,NH,7,0,Southwest Region Planning Commission,1146260,1,"Boston-Cambridge-Quincy, MA-NH",3346260,4552402,Ma
Montgomery town,VT01,VT,1,0,Northwest RPC,1145850,1,Not Applicable,5045850,-,VT
New Salem town,MA03,MA,3,0,Franklin Regional Council of Governments,1145490,1,Not Applicable,2545490,-,MA
Manchester,NH04,NH,4,0,Southern New Hampshire Planning Commission,1145140,1,"Boston-Cambridge-Quincy, MA-NH",3345140,4552402,Ma
Lyndeborough,NH08,NH,8,0,Nashua Regional Planning Commission,1144580,1,"Boston-Cambridge-Quincy, MA-NH",3344580,4552402,Ly
Lyme town,CT03,CT,3,0,Lower CT River Valley Council of Governments,1144210,1,"Norwich-New London, CT",944210,274055,CT
